[INFO ] 2024-04-07 11:38:16.557 edu.tongji.backend.BackendApplicationTests logStarting 50 [main] ------ Starting BackendApplicationTests using Java 17.0.9 with PID 7948 (started by Administrator in D:\IDEAProj\Tangxiaozhi_Sports_Backend) 
[DEBUG] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStarting 51 [main] ------ Running with Spring Boot v3.2.1, Spring v6.1.2 
[INFO ] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStartupProfileInfo 668 [main] ------ The following 1 profile is active: "pro" 
[INFO ] 2024-04-07 11:38:19.995 edu.tongji.backend.BackendApplicationTests logStarted 56 [main] ------ Started BackendApplicationTests in 3.782 seconds (process running for 4.64) 
[DEBUG] 2024-04-07 11:38:21.052 edu.tongji.backend.mapper.RunningMapper.selectList debug 135 [main] ------ ==>  Preparing: SELECT exercise_id,pace,distance FROM running 
[DEBUG] 2024-04-07 11:38:21.075 edu.tongji.backend.mapper.RunningMapper.selectList debug 135 [main] ------ ==> Parameters:  
[TRACE] 2024-04-07 11:38:21.108 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==    Columns: exercise_id, pace, distance 
[TRACE] 2024-04-07 11:38:21.108 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 1, 298, 4.72 
[TRACE] 2024-04-07 11:38:21.110 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 14, 300, 3.70 
[TRACE] 2024-04-07 11:38:21.110 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 20, 400, 5.30 
[TRACE] 2024-04-07 11:38:21.110 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 21, 200, 1.00 
[TRACE] 2024-04-07 11:38:21.111 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 22, 250, 2.00 
[TRACE] 2024-04-07 11:38:21.111 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2056, 535, 350.32 
[TRACE] 2024-04-07 11:38:21.111 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2057, 361, 0.63 
[TRACE] 2024-04-07 11:38:21.111 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2058, 645, 0.17 
[TRACE] 2024-04-07 11:38:21.112 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2059, 833, 0.35 
[TRACE] 2024-04-07 11:38:21.112 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2060, 415, 0.95 
[TRACE] 2024-04-07 11:38:21.112 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2061, 857, 0.17 
[TRACE] 2024-04-07 11:38:21.112 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2062, 286, 0.13 
[TRACE] 2024-04-07 11:38:21.113 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2063, 702, 0.46 
[TRACE] 2024-04-07 11:38:21.113 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2064, 252, 0.90 
[TRACE] 2024-04-07 11:38:21.113 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2065, 894, 173.60 
